GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.repository,ItemInventoryRepository,0,56,0,6,0,16,0,7,0,4
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.controller,CleanCacheController,0,20,0,0,0,7,0,3,0,3
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.controller,CouponController,11,94,4,6,3,19,4,4,0,3
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.dto,ItemGroupResponse,11,21,0,0,6,7,3,4,3,4
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.dto,ItemGroupRequest,0,23,0,0,0,8,0,6,0,6
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.dto,ItemInventoryResponse,9,14,0,0,2,6,2,4,2,4
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.service,MaximizeCouponService,1,194,7,27,0,40,7,19,0,9
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.service,CouponService,0,38,0,0,0,11,0,3,0,3
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.service,ItemInventoryService,0,49,0,8,0,9,0,9,0,5
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.cache,ItemInventoryCache,0,21,0,0,0,7,0,5,0,5
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.cache,CleanCacheTask,0,27,0,0,0,9,0,4,0,4
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.model,Item,12,64,4,6,6,12,6,7,2,6
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.model,ItemGroup,17,93,6,6,6,29,7,10,1,10
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi.config,RestTemplateClientConfig,7,0,0,0,2,0,2,0,2,0
mercadolibre-coupon-api,com.mercadolibre.mercadolibrecouponapi,MercadolibreCouponApiApplication,8,0,0,0,3,0,2,0,2,0
